organism,reviewed_count,unreviewed_count,pdb_structures_count,organism_id,lineage,type,type_merge_microbes,superdomain,domain,kingdom,reviewed_count_radius,unreviewed_count_radius,pdb_structures_count_radius
Megalodesulfovibrio gigas,10,10,7,879,Bacteria; Desulfovibrionaceae; Desulfovibrionales; Desulfovibrionia; Megalodesulfovibrio; Thermodesulfobacteriota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,1.4927053303604616
Escherichia phage alpha3,10,10,3,10849,Alphatrevirus; Alphatrevirus alpha3; Bullavirinae; Malgrandaviricetes; Microviridae; Monodnaviria; Petitvirales; Phixviricota; Sangervirae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,0.9772050238058398
Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij),10,10,6,63186,Bacteria; Bacteroidota; Flavobacteriaceae; Flavobacteriales; Flavobacteriia; Zobellia,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,1.381976597885342
Rhipicephalus appendiculatus,10,10,4,34631,Acari; Arachnida; Arthropoda; Chelicerata; Ecdysozoa; Eukaryota; Ixodida; Ixodidae; Ixodoidea; Metazoa; Parasitiformes; Rhipicephalinae; Rhipicephalus,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,1.1283791670955126
Taenia solium,10,10,1,6204,Cestoda; Cyclophyllidea; Eucestoda; Eukaryota; Lophotrochozoa; Metazoa; Platyhelminthes; Spiralia; Taenia; Taeniidae,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.5641895835477563
Solenopsis invicta,10,10,3,13686,Aculeata; Apocrita; Arthropoda; Ecdysozoa; Endopterygota; Eukaryota; Formicidae; Formicoidea; Hexapoda; Hymenoptera; Insecta; Metazoa; Myrmicinae; Neoptera; Pterygota; Solenopsis,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.9772050238058398
Clostridium scindens (strain JCM 10418 / VPI 12708),10,10,2,29347,Bacillati; Bacillota; Bacteria; Clostridia; Lachnospiraceae; Lachnospirales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.7978845608028654
Feline coronavirus (strain FIPV WSU-79/1146),10,10,2,33734,Alphacoronavirus; Alphacoronavirus 1; Cornidovirineae; Coronaviridae; Nidovirales; Orthocoronavirinae; Orthornavirae; Pisoniviricetes; Pisuviricota; Riboviria; Tegacovirus; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,0.7978845608028654
Anopheles darlingi,10,10,1,43151,Anopheles; Anophelinae; Arthropoda; Culicidae; Culicoidea; Diptera; Ecdysozoa; Endopterygota; Eukaryota; Hexapoda; Insecta; Metazoa; Nematocera; Neoptera; Pterygota,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.5641895835477563
Pseudomonas syringae pv. tomato,10,10,2,323,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.7978845608028654
Avian infectious bronchitis virus (strain Beaudette),10,10,2,11122,Avian coronavirus; Cornidovirineae; Coronaviridae; Gammacoronavirus; Igacovirus; Nidovirales; Orthocoronavirinae; Orthornavirae; Pisoniviricetes; Pisuviricota; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,0.7978845608028654
Dendroaspis jamesoni kaimosae,10,10,1,8619,Bifurcata; Chordata; Colubroidea; Craniata; Dendroaspis; Elapidae; Elapinae; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.5641895835477563
Plasmodium falciparum (isolate FC27 / Papua New Guinea),10,10,3,5837,Aconoidasida; Alveolata; Apicomplexa; Eukaryota; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Laverania); Sar,other Eukaryota,Other Eukaryota,Cellular Life,Eukaryota,other Eukaryota,1.7841241161527712,1.7841241161527712,0.9772050238058398
Streptantibioticus cattleyicolor (strain ATCC 35852 / DSM 46488 / JCM 4925 / NBRC 14057 / NRRL 8057),10,10,3,1003195,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptantibioticus; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.9772050238058398
Pseudomonas savastanoi,10,10,1,29438,Bacteria; Gammaproteobacteria; Pseudomonadaceae; Pseudomonadales; Pseudomonadota; Pseudomonas,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.5641895835477563
Lutzomyia longipalpis,10,10,4,7200,Arthropoda; Diptera; Ecdysozoa; Endopterygota; Eukaryota; Hexapoda; Insecta; Lutzomyia; Metazoa; Nematocera; Neoptera; Psychodidae; Psychodoidea; Pterygota,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,1.1283791670955126
Megalodesulfovibrio gigas (strain ATCC 19364 / DSM 1382 / NCIMB 9332 / VKM B-1759),10,10,6,1121448,Bacteria; Desulfovibrionaceae; Desulfovibrionales; Desulfovibrionia; Megalodesulfovibrio; Thermodesulfobacteriota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,1.381976597885342
Listeria monocytogenes,10,10,2,1639,Bacillales; Bacillati; Bacilli; Bacillota; Bacteria; Listeria; Listeriaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.7978845608028654
Bothrops leucurus,10,10,1,157295,Bifurcata; Bothrops; Chordata; Colubroidea; Craniata; Crotalinae; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata; Viperidae,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.5641895835477563
Influenza A virus (strain A/Qu/7/1970 H3N2),10,10,1,221016,Alphainfluenzavirus; Alphainfluenzavirus influenzae; Articulavirales; Influenza A virus; Insthoviricetes; Negarnaviricota; Orthomyxoviridae; Orthornavirae; Polyploviricotina; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,0.5641895835477563
Influenza A virus (strain A/Japan/305/1957 H2N2),10,10,2,387161,Alphainfluenzavirus; Alphainfluenzavirus influenzae; Articulavirales; Influenza A virus; Insthoviricetes; Negarnaviricota; Orthomyxoviridae; Orthornavirae; Polyploviricotina; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,0.7978845608028654
Sinopodophyllum hexandrum,10,10,1,93608,Berberidaceae; Embryophyta; Eukaryota; Magnoliopsida; Podophylleae; Podophylloideae; Ranunculales; Sinopodophyllum; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae,Plant,Plant,Cellular Life,Eukaryota,Plant,1.7841241161527712,1.7841241161527712,0.5641895835477563
Diploptera punctata,10,10,1,6984,Arthropoda; Blaberidae; Blaberoidea; Blattodea; Dictyoptera; Diploptera; Diplopterinae; Ecdysozoa; Eukaryota; Hexapoda; Insecta; Metazoa; Neoptera; Polyneoptera; Pterygota,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.5641895835477563
Pyrrhocoris apterus,10,10,1,37000,Arthropoda; Ecdysozoa; Eukaryota; Hemiptera; Heteroptera; Hexapoda; Insecta; Metazoa; Neoptera; Panheteroptera; Paraneoptera; Pentatomomorpha; Pterygota; Pyrrhocoridae; Pyrrhocoris; Pyrrhocoroidea,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.5641895835477563
Enterobacteria phage phiX174,10,10,7,1217068,Bullavirinae; Escherichia phage phiX174; Malgrandaviricetes; Microviridae; Monodnaviria; Petitvirales; Phixviricota; Sangervirae; Sinsheimervirus; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,1.4927053303604616
Urechis caupo,10,10,2,6431,Annelida; Echiura; Eukaryota; Lophotrochozoa; Metazoa; Polychaeta; Spiralia; Urechidae; Urechis; Xenopneusta,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.7978845608028654
Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81),10,10,5,575584,Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Bacteria; Gammaproteobacteria; Moraxellaceae; Moraxellales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,1.2615662610100802
Conus stercusmuscarum,10,10,2,89452,Caenogastropoda; Conidae; Conoidea; Conus; Eukaryota; Gastropoda; Lophotrochozoa; Metazoa; Mollusca; Neogastropoda; Pionoconus; Spiralia,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.7978845608028654
Vibrio parahaemolyticus,10,10,1,670,Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrio; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.5641895835477563
Monascus purpureus,10,10,1,5098,Ascomycota; Aspergillaceae; Dikarya; Eukaryota; Eurotiales; Eurotiomycetes; Eurotiomycetidae; Fungi; Monascus; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,1.7841241161527712,1.7841241161527712,0.5641895835477563
Vibrio proteolyticus,10,10,2,671,Bacteria; Gammaproteobacteria; Pseudomonadota; Vibrio; Vibrionaceae; Vibrionales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.7978845608028654
Acinetobacter guillouiae,10,10,1,106649,Acinetobacter; Bacteria; Gammaproteobacteria; Moraxellaceae; Moraxellales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.5641895835477563
Paraclostridium bifermentans,10,10,3,1490,Bacillati; Bacillota; Bacteria; Clostridia; Paraclostridium; Peptostreptococcaceae; Peptostreptococcales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.9772050238058398
Lathyrus sativus,10,10,1,3860,50 kb inversion clade; Embryophyta; Eukaryota; Fabaceae; Fabales; Fabeae; Gunneridae; Hologalegina; IRL clade; Lathyrus; Magnoliopsida; NPAAA clade; Papilionoideae; Pentapetalae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; eudicotyledons; fabids; rosids,Plant,Plant,Cellular Life,Eukaryota,Plant,1.7841241161527712,1.7841241161527712,0.5641895835477563
Bacillus thuringiensis subsp. israelensis,10,10,8,1430,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacillus; Bacillus cereus group; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,1.5957691216057308
Brevundimonas diminuta,10,10,2,293,Alphaproteobacteria; Bacteria; Brevundimonas; Caulobacteraceae; Caulobacterales; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.7978845608028654
Aspergillus tubingensis,10,10,1,5068,Ascomycota; Aspergillaceae; Aspergillus; Aspergillus subgen. Circumdati; Dikarya; Eukaryota; Eurotiales; Eurotiomycetes; Eurotiomycetidae; Fungi; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,1.7841241161527712,1.7841241161527712,0.5641895835477563
Viola arvensis,10,10,2,97415,Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Malpighiales; Pentapetalae; Spermatophyta; Streptophyta; Tracheophyta; Viola; Viola sect. Melanium; Viola subgen. Viola; Viola subsect. Bracteolatae; Violaceae; Viridiplantae; eudicotyledons; fabids; rosids,Plant,Plant,Cellular Life,Eukaryota,Plant,1.7841241161527712,1.7841241161527712,0.7978845608028654
Apium graveolens,10,10,1,4045,Apiaceae; Apiales; Apieae; Apioideae; Apium; Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Pentapetalae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; apioid superclade; asterids; campanulids; eudicotyledons,Plant,Plant,Cellular Life,Eukaryota,Plant,1.7841241161527712,1.7841241161527712,0.5641895835477563
Human coronavirus OC43,10,10,4,31631,Betacoronavirus; Betacoronavirus 1; Cornidovirineae; Coronaviridae; Embecovirus; Nidovirales; Orthocoronavirinae; Orthornavirae; Pisoniviricetes; Pisuviricota; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,1.1283791670955126
Lacticaseibacillus rhamnosus,10,10,1,47715,Bacillati; Bacilli; Bacillota; Bacteria; Lacticaseibacillus; Lactobacillaceae; Lactobacillales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.5641895835477563
Bacillus sp. (strain TB-90),10,10,1,36824,Bacillaceae; Bacillales; Bacillati; Bacilli; Bacillota; Bacillus; Bacteria,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.5641895835477563
Rauvolfia serpentina,10,10,6,4060,Apocynaceae; Embryophyta; Eukaryota; Gentianales; Gunneridae; Magnoliopsida; Pentapetalae; Rauvolfia; Rauvolfiinae; Rauvolfioideae; Spermatophyta; Streptophyta; Tracheophyta; Vinceae; Viridiplantae; asterids; eudicotyledons; lamiids,Plant,Plant,Cellular Life,Eukaryota,Plant,1.7841241161527712,1.7841241161527712,1.381976597885342
Citrus unshiu,10,10,3,55188,Aurantioideae; Citrus; Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Pentapetalae; Rutaceae; Sapindales; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; eudicotyledons; malvids; rosids,Plant,Plant,Cellular Life,Eukaryota,Plant,1.7841241161527712,1.7841241161527712,0.9772050238058398
Avian infectious bronchitis virus (strain M41),10,10,2,11127,Avian coronavirus; Cornidovirineae; Coronaviridae; Gammacoronavirus; Igacovirus; Nidovirales; Orthocoronavirinae; Orthornavirae; Pisoniviricetes; Pisuviricota; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,0.7978845608028654
Influenza A virus (strain A/England/878/1969 H3N2),10,10,1,387147,Alphainfluenzavirus; Alphainfluenzavirus influenzae; Articulavirales; Influenza A virus; Insthoviricetes; Negarnaviricota; Orthomyxoviridae; Orthornavirae; Polyploviricotina; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,0.5641895835477563
Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012),10,10,6,1263720,Betacoronavirus; Cornidovirineae; Coronaviridae; Merbecovirus; Middle East respiratory syndrome-related coronavirus; Nidovirales; Orthocoronavirinae; Orthornavirae; Pisoniviricetes; Pisuviricota; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.7841241161527712,1.7841241161527712,1.381976597885342
Isometrus maculatus,10,10,1,497827,Arachnida; Arthropoda; Buthida; Buthidae; Buthoidea; Chelicerata; Ecdysozoa; Eukaryota; Isometrus; Metazoa; Scorpiones,Animal,Animal,Cellular Life,Eukaryota,Animal,1.7841241161527712,1.7841241161527712,0.5641895835477563
Fibrobacter succinogenes (strain ATCC 19169 / S85),10,10,1,59374,Bacteria; Fibrobacter; Fibrobacteraceae; Fibrobacterales; Fibrobacteria; Fibrobacterota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.7841241161527712,1.7841241161527712,0.5641895835477563
Armoracia rusticana,9,9,2,3704,Armoracia; Brassicaceae; Brassicales; Cardamineae; Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Pentapetalae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; eudicotyledons; malvids; rosids,Plant,Plant,Cellular Life,Eukaryota,Plant,1.692568750643269,1.692568750643269,0.7978845608028654
Escherichia phage If1,9,9,2,10868,Faserviricetes; Hofneiviricota; Infulavirus; Infulavirus If1; Inoviridae; Loebvirae; Monodnaviria; Tubulavirales; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.7978845608028654
Human immunodeficiency virus type 1 group N (isolate YBF106),9,9,1,388819,Artverviricota; Human immunodeficiency virus type 1; Lentivirus; Ortervirales; Orthoretrovirinae; Pararnavirae; Retroviridae; Revtraviricetes; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.5641895835477563
Ruditapes philippinarum,9,9,1,129788,Autobranchia; Bivalvia; Euheterodonta; Eukaryota; Heteroconchia; Imparidentia; Lophotrochozoa; Metazoa; Mollusca; Neoheterodontei; Ruditapes; Spiralia; Venerida; Veneridae; Veneroidea,Animal,Animal,Cellular Life,Eukaryota,Animal,1.692568750643269,1.692568750643269,0.5641895835477563
Callinectes sapidus,9,9,1,6763,Arthropoda; Brachyura; Callinectes; Crustacea; Decapoda; Ecdysozoa; Eubrachyura; Eucarida; Eukaryota; Eumalacostraca; Malacostraca; Metazoa; Multicrustacea; Pleocyemata; Portunidae; Portuninae; Portunoidea,Animal,Animal,Cellular Life,Eukaryota,Animal,1.692568750643269,1.692568750643269,0.5641895835477563
Human immunodeficiency virus type 1 group M subtype B (isolate HXB2),9,9,9,11706,Artverviricota; Human immunodeficiency virus type 1; Lentivirus; Ortervirales; Orthoretrovirinae; Pararnavirae; Retroviridae; Revtraviricetes; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,1.692568750643269
Human papillomavirus 35,9,9,2,10587,Alphapapillomavirus; Alphapapillomavirus 9; Cossaviricota; Firstpapillomavirinae; Monodnaviria; Papillomaviridae; Papovaviricetes; Shotokuvirae; Viruses; Zurhausenvirales,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.7978845608028654
Human immunodeficiency virus type 1 group M subtype C (isolate 92BR025),9,9,1,388812,Artverviricota; Human immunodeficiency virus type 1; Lentivirus; Ortervirales; Orthoretrovirinae; Pararnavirae; Retroviridae; Revtraviricetes; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.5641895835477563
Human immunodeficiency virus type 2 subtype A (isolate ST),9,9,1,11721,Artverviricota; Human immunodeficiency virus 2; Lentivirus; Ortervirales; Orthoretrovirinae; Pararnavirae; Retroviridae; Revtraviricetes; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.5641895835477563
Escherichia coli O44:H18 (strain 042 / EAEC),9,9,1,216592,Bacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Gammaproteobacteria; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.692568750643269,1.692568750643269,0.5641895835477563
Saccharomyces bayanus,9,9,1,4931,Ascomycota; Dikarya; Eukaryota; Fungi; Saccharomyces; Saccharomycetaceae; Saccharomycetales; Saccharomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,1.692568750643269,1.692568750643269,0.5641895835477563
Human coronavirus HKU1 (isolate N2),9,9,1,443240,Betacoronavirus; Cornidovirineae; Coronaviridae; Embecovirus; Human coronavirus HKU1; Nidovirales; Orthocoronavirinae; Orthornavirae; Pisoniviricetes; Pisuviricota; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.5641895835477563
Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI),9,9,4,11686,Artverviricota; Human immunodeficiency virus type 1; Lentivirus; Ortervirales; Orthoretrovirinae; Pararnavirae; Retroviridae; Revtraviricetes; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,1.1283791670955126
Malbranchea cinnamomea,9,9,1,5041,Ascomycota; Dikarya; Eukaryota; Eurotiomycetes; Eurotiomycetidae; Fungi; Malbranchea; Malbrancheaceae; Onygenales; Pezizomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,1.692568750643269,1.692568750643269,0.5641895835477563
Levilactobacillus brevis,9,9,1,1580,Bacillati; Bacilli; Bacillota; Bacteria; Lactobacillaceae; Lactobacillales; Levilactobacillus,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.692568750643269,1.692568750643269,0.5641895835477563
Potato leafroll virus (strain Potato/Scotland/strain 1/1984),9,9,1,12046,Orthornavirae; Pisoniviricetes; Pisuviricota; Polerovirus; Potato leafroll virus; Riboviria; Sobelivirales; Solemoviridae; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.5641895835477563
Human immunodeficiency virus type 1 group O (isolate MVP5180),9,9,1,388816,Artverviricota; Human immunodeficiency virus type 1; Lentivirus; Ortervirales; Orthoretrovirinae; Pararnavirae; Retroviridae; Revtraviricetes; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.5641895835477563
Amycolatopsis mediterranei (strain S699),9,9,1,713604,Actinomycetes; Actinomycetota; Amycolatopsis; Bacillati; Bacteria; Pseudonocardiaceae; Pseudonocardiales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.692568750643269,1.692568750643269,0.5641895835477563
Bat coronavirus HKU9,9,9,2,694006,Betacoronavirus; Cornidovirineae; Coronaviridae; Nidovirales; Nobecovirus; Orthocoronavirinae; Orthornavirae; Pisoniviricetes; Pisuviricota; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.7978845608028654
Lactiplantibacillus pentosus,9,9,1,1589,Bacillati; Bacilli; Bacillota; Bacteria; Lactiplantibacillus; Lactobacillaceae; Lactobacillales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.692568750643269,1.692568750643269,0.5641895835477563
Human immunodeficiency virus type 1 group M subtype A (isolate MAL),9,9,4,11697,Artverviricota; Human immunodeficiency virus type 1; Lentivirus; Ortervirales; Orthoretrovirinae; Pararnavirae; Retroviridae; Revtraviricetes; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,1.1283791670955126
Synechocystis sp. (strain PCC 6714),9,9,1,1147,Bacillati; Bacteria; Cyanobacteriota; Cyanophyceae; Merismopediaceae; Synechococcales; Synechocystis,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.692568750643269,1.692568750643269,0.5641895835477563
Desulfomicrobium norvegicum (strain DSM 1741 / NCIMB 8310),9,9,3,52561,Bacteria; Desulfomicrobiaceae; Desulfomicrobium; Desulfovibrionales; Desulfovibrionia; Thermodesulfobacteriota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.692568750643269,1.692568750643269,0.9772050238058398
Pantoea ananas,9,9,1,553,Bacteria; Enterobacterales; Erwiniaceae; Gammaproteobacteria; Pantoea; Pseudomonadota,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.692568750643269,1.692568750643269,0.5641895835477563
Human papillomavirus type 18,9,9,6,333761,Alphapapillomavirus; Alphapapillomavirus 7; Cossaviricota; Firstpapillomavirinae; Monodnaviria; Papillomaviridae; Papovaviricetes; Shotokuvirae; Viruses; Zurhausenvirales,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,1.381976597885342
Lentzea aerocolonigenes,9,9,3,68170,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Lentzea; Pseudonocardiaceae; Pseudonocardiales,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.692568750643269,1.692568750643269,0.9772050238058398
Naja nivea,9,9,1,8655,Bifurcata; Chordata; Colubroidea; Craniata; Elapidae; Elapinae; Episquamata; Eukaryota; Euteleostomi; Lepidosauria; Metazoa; Naja; Serpentes; Squamata; Toxicofera; Unidentata; Vertebrata,Animal,Animal,Cellular Life,Eukaryota,Animal,1.692568750643269,1.692568750643269,0.5641895835477563
Cichorium intybus,9,9,1,13427,Asteraceae; Asterales; Cichorieae; Cichoriinae; Cichorioideae; Cichorium; Embryophyta; Eukaryota; Gunneridae; Magnoliopsida; Pentapetalae; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae; asterids; campanulids; eudicotyledons,Plant,Plant,Cellular Life,Eukaryota,Plant,1.692568750643269,1.692568750643269,0.5641895835477563
Zaire ebolavirus (strain Mayinga-76),9,9,6,128952,Filoviridae; Haploviricotina; Monjiviricetes; Mononegavirales; Negarnaviricota; Orthoebolavirus; Orthoebolavirus zairense; Orthornavirae; Riboviria; Viruses; Zaire ebolavirus,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,1.381976597885342
Human papillomavirus 33,9,9,1,10586,Alphapapillomavirus; Alphapapillomavirus 9; Cossaviricota; Firstpapillomavirinae; Monodnaviria; Papillomaviridae; Papovaviricetes; Shotokuvirae; Viruses; Zurhausenvirales,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.5641895835477563
Human papillomavirus 51,9,9,1,10595,Alphapapillomavirus; Alphapapillomavirus 5; Cossaviricota; Firstpapillomavirinae; Monodnaviria; Papillomaviridae; Papovaviricetes; Shotokuvirae; Viruses; Zurhausenvirales,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.5641895835477563
Streptomyces arenae,9,9,1,29301,Actinomycetes; Actinomycetota; Bacillati; Bacteria; Kitasatosporales; Streptomyces; Streptomycetaceae,Bacteria,Microbial,Cellular Life,Bacteria,Monera,1.692568750643269,1.692568750643269,0.5641895835477563
Narcissus aff. pseudonarcissus MK-2014,9,9,1,1540222,Amaryllidaceae; Amaryllidoideae; Asparagales; Embryophyta; Eukaryota; Liliopsida; Magnoliopsida; Narcissus; Spermatophyta; Streptophyta; Tracheophyta; Viridiplantae,Plant,Plant,Cellular Life,Eukaryota,Plant,1.692568750643269,1.692568750643269,0.5641895835477563
Saccharomyces pastorianus,9,9,1,27292,Ascomycota; Dikarya; Eukaryota; Fungi; Saccharomyces; Saccharomycetaceae; Saccharomycetales; Saccharomycetes; Saccharomycotina,Fungi,Fungi,Cellular Life,Eukaryota,Fungi,1.692568750643269,1.692568750643269,0.5641895835477563
Equine arteritis virus (strain Bucyrus),9,9,2,299386,Alphaarterivirus; Alphaarterivirus equid; Arnidovirineae; Arteriviridae; Equarterivirinae; Nidovirales; Orthornavirae; Pisoniviricetes; Pisuviricota; Riboviria; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.7978845608028654
Spiroplasma virus 4,9,9,2,2928746,Gokushovirinae; Malgrandaviricetes; Microviridae; Monodnaviria; Petitvirales; Phixviricota; Sangervirae; Spiromicrovirus; Spiromicrovirus SpV4; Viruses,Viruses,Microbial,Non-cellular Life,Viruses,Viruses,1.692568750643269,1.692568750643269,0.7978845608028654
